Username,Followers,Average Likes,Average Comments,Average Engagement Rate,Engagement Rate (60 Days),Posting frequency (last 60 days),Posts (image),Posts (videos),Posts (carousel),Average Hashtags / Post (60 Days),Hashtags (dictionary)
angiemstwn,2047559,185356.19,630.77,9.0834,4.2291,23,0,13,10,1.043,"{'adidasoriginals': 1, 'kopigoodday': 1, 'goodgamegoodday': 1, 'dblwithkopigoodday': 1, 'serapcepatsetengahdetik': 2, 'antirisih': 2, 'bebasmukabelangmatahari': 1, 'sunscreenuvduo': 1, 'uvduo': 1, 'briminisoccerclash': 1, 'hut129bri': 1, 'briliandancemerlang': 1, 'yslbeautyid': 1, 'yslholiday': 1, 'satsetsmoothdanwangi': 2, 'casetifyid': 1, 'casetify': 1, '1111sale': 1, 'sunsilkid': 1, 'theshadowstrays': 1, 'netflixid': 1}"
eri.carl,2203789,,,,5.193,16,3,9,4,0.75,"{'pengantinsetan': 2, 'akudinikahijin': 2, 'filmpengantinsetan': 2, 'siapapengantinselanjutnya': 2, 'foom': 1, 'eleganceineverydetail': 2, 'hyfe': 1}"
syahiba_saufa,1811551,26212.84,145.84,1.455,0.7947,13,0,2,11,0,{}
rosalia.vt,27521485,731834.07,3964.1,2.6735,4.405,7,0,2,5,0,{}
refalhady,2279425,,,,1.6814,13,1,5,7,1.154,"{'uniqlotravelessentials': 1, 'upgrabyourride': 1, 'barengavoskinbarengrefal': 1, 'filmctptw': 1, 'cintatakpernahtepatwaktu': 1, 'dapurfilm': 1, 'jakartafilmweek': 1, 'brimomudahserbabisa': 2, 'brimoxuss2024': 2, 'brimofstvl': 2, 'belimpahhadiah': 1, 'berlimpahhadiah': 1}"
siviazizah,1193388,,,,2.9632,14,4,3,7,1,"{'vomeroroam': 2, 'teamnike': 4, 'allahummabariik': 1, 'godisgooood': 2, 'aamiinallahummaaamiin': 1, 'thecc': 1, 'siviaotwalbum2': 1, 'stepboxxinggg': 1, 'swooshgang': 1}"
bagas_zuxxy,1180207,154382.52,1755.34,13.2297,0.5307,1,0,0,1,3,"{'mengukirsejarah': 1, 'indopride': 1, 'pmgc2024': 1}"
bebytsabina,7994281,201394.06,628.37,2.5271,1.5076,29,4,8,17,0.655,"{'promomerchantbri': 1, 'brimo': 1, 'sabrina': 1, 'edcbri': 1, 'brimofstvl', 'bebytsabrina': 1, 'kamipedulistunting': 2, 'mdentertainment': 1, 'mdentertainmentfoundation': 1, '1000daysfund': 1, 'saptojoss25': 1, 'shampoorambutrontok': 1, 'leaveonconditioner': 1, 'conditioner': 1, 'waktunyakelaya': 1, 'kelayahairtreatment': 1, 'bvlgarijewelry': 1, 'bvlgariholidays': 2, 'bvlgariwatches': 1, 'bvlgari': 2}"
jasonderulo,35137412,291341.05,2557.12,0.8364,0.4342,30,4,26,0,0.833,"{'youcandoanything': 3, 'makemehappy': 12, 'makemehappysweepstakes': 2, 'iheartjingleball': 1, '1': 1, 'cat': 1, 'cats': 1, 'kitten': 1, 'kittens': 1, 'catlovers': 1, 'catlife': 1}"
iqbaal.e,14475780,,,,1.5348,10,3,3,4,0.5,"{'perayaanmatirasa': 4, 'pmr': 1}"
bramastavrl,27421149,150723.02,3042.12,0.5608,0.1551,35,2,24,9,0,{}
kun11xd,7146979,700613.67,5303.04,9.8771,5.8659,4,0,0,4,0,{}
syakirdaulay,7900796,94032.52,642.67,1.1983,0.6597,48,16,16,16,1.5,"{'allahummashollialamuhammad': 1, 'mashaallahtabarakallah': 1, 'alhamdulillah': 1, 'syakirdaulay': 8, 'makbeti': 1, 'sitkom': 1, 'uangjajandarirasulullah': 2, 'santriracing': 1, 'presidenijotomat': 8, 'salamhangatsyakirdaulay': 7, 'actorproducersutradamuda': 2, 'gaulteteptaat': 4, 'taattapiasik': 2, 'ikatanjombloterhormat': 5, 'janganlupasholawat': 2, 'huntingberkah': 1, 'masyaallahtabarakallah': 1, 'horseriding': 1, 'syakirevent': 1, 'experiencewithsyakirdaulay': 1, 'tanahbumbu': 1, 'kalimantanselatan': 1, 'nurulmushtofaindonesia': 1, 'harisantri': 1, 'darisantriuntuknegri': 1, 'keepcalm': 1, 'keepspirit': 1, 'keeptawakkal': 1, 'cumabantuinorangngidam': 1, 'janganlupangaji': 1, 'selfreminder': 1, 'yasalam': 1, 'syakirmusic': 1, 'actorproducersutradaramuda': 2, 'hambaallah': 2, 'jomblohighquality': 2, 'taattetepasik': 2}"
dele,8277231,266408.27,1143.38,3.2324,3.1181,2,0,0,2,0,{}
rayanurfitrird,8660319,55255.08,150.44,0.6398,0.0008,12,1,4,7,0.083,{'blackhorse188': 1}
