Username,Followers,Average Likes,Average Comments,Average Engagement Rate,Engagement Rate (60 Days),Posting frequency (last 60 days),Posts (image),Posts (videos),Posts (carousel),Average Hashtags / Post (60 Days),Hashtags (dictionary)
,,,,,,,,,,,
,,,,,,,,,,,
dylanmckae,3992,90.63,3.7,2.3631,6.5882,1,0,0,1,0,{}
shridevi_designs,3447,30.18,9.91,1.163,1.6028,4,0,3,1,14,"{'dilwali': 1, 'dilwalidiwali': 1, 'desijewelry': 1, 'polkijewellery': 1, 'bridaljewelry': 1, 'halloween': 1, 'halloweenmakeup': 1, 'halloweencostume': 1, 'makeupartist': 4, 'njmua': 3, 'hair': 4, 'njhairstylist': 3, 'makeuptutorial': 3, 'nymua': 2, 'makeuptransformation': 1, 'newyork': 1, 'newjersey': 1, 'kulfi': 2, 'makeup': 2, 'hairtransformation': 2, 'indianbridal': 1, 'makeupideas': 2, 'makeupoftheday': 1, 'makeupaddict': 2, 'makeuplife': 1, 'charlottetilbury': 1, 'makeupforever': 1, 'jewelry': 1, 'shridevidesigns': 1, 'indianjewelry': 1, 'bangles': 1, 'desiwedding': 2, 'artificialjewelry': 1, 'kundan': 1, 'punjabijutti': 1, 'hairstylist': 1, 'bridal': 1}"
marcgross,3183,285.8,15.37,9.4619,7.7233,6,1,1,4,5.17,"{'snowboarding': 3, 'splitboarding': 1, 'staytuned': 1, 'freeriders': 1, 'backyardsessions': 1, 'alps': 1, 'handplant': 1, 'onefoot': 1, 'snowboard': 3, 'photography': 1, 'diypark': 1, 'passion': 1, 'bsrodeo7': 1, 'splitboardtour': 1, 'airtime': 2, 'withtheboys': 1, 'earnyourturns': 1, 'splitboard': 1, 'snowpark': 1, 'localkids': 1, 'newgeneration': 1, 'freeski': 1, 'freestyle': 1, 'fs360': 1, 'indygrab': 1, 'motivated': 1}"
demtattooer,5679,163.94,3.9,2.9554,4.3161,9,6,2,1,2.22,"{'tattoo': 5, 'movie': 3, 'tatouage': 3, 'diy': 1, 'painting': 1, 'landes': 3, 'bordeaux': 2, 'tattooflash': 1, 'soustons': 1}"
ihurtnyc,3095,81.05,4.69,2.7704,1.0178,4,3,1,0,6,"{'backyardparty': 1, 'metalhead': 2, 'yep': 1, 'happy': 1, 'septicflesh': 1, 'septicfleshofficial': 1, 'metal': 1, 'metalmusic': 1, 'highbrow': 1, 'throwingthehorns': 1, 'lostangeles': 1, 'goodguyswearblack': 1, 'donaldmorgan': 1, 'illustrator': 1, 'animator': 1, 'cartoonist': 1, 'artistic': 1, 'appledidntfallfarfromthetree': 1, 'stillproud': 1, 'followingfootsteps': 1, 'waltkelly': 1, 'pogo': 1, 'waltkellyspogo': 1}"
emmadusang,2647,365.4,13.52,14.3152,0,0,0,0,0,-,-
,,,,,,,,,,,
itisallanah,2746,61.42,7.52,2.5107,0,0,0,0,0,-,-
sonofchicago,4865,257.2,22.17,5.7425,0.1028,1,1,0,0,0,{}
mayramaia,3575,169.36,13.48,5.1145,8.021,4,1,0,3,0,{}
,,,,,,,,,,,
