,Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary)
0,165908,1496.54,1.96,0.9032,1.0862,58,0,13,45,16.897,"{'rollsroycespectre': 1, 'rollsroyce': 1, 'spectre': 1, 'electriccar': 1, 'electriccoupe': 1, 'rollsroycecoupe': 1, 'jakarta': 56, 'showroom': 56, 'instacar': 56, 'cars': 55, 'supercars': 55, 'carsofinstagram': 55, 'luxury': 55, 'luxurycarjakarta': 55, 'lifestyle': 57, 'ivansmotor': 58, 'drivenbypassion': 58, 'fordmustanggt': 1, 'fordmustang': 3, 'v8': 2, 'mustanggt': 1, 'fordv8': 1, 'musclecar': 1, 'nissangtrnismo': 2, 'nissangtrr35nismo': 2, 'nissangtrr35': 2, 'gtrnismo': 2, 'nissangtr': 2, 'nissanr35': 2, 'nismo': 2, 'lamborghiniaventadorlbwk': 1, 'lamborghinianniversario': 1, 'libertywalk': 1, 'lbwk': 1, '50': 1, 'anniversario': 1, 'limitededition': 2, 'roadster': 1, 'openair': 1, 'v12': 3, 'lamborghini': 4, 'aventador': 2, 'toyotalandcruiserglx70': 1, 'glx70': 1, 'landcruiserglx70': 1, 'toyotaglx70': 1, 'toyota': 3, 'classicadventure': 1, 'lexuslx600': 2, 'lexus': 2, 'lx600': 2, 'toyotayarisgrmn': 1, 'toyotayarisgrmncircuitpackage': 1, 'yarisgrmn': 1, 'yaris': 1, 'grmn': 1, 'porsche911targa4s': 2, 'porsche911targa': 2, 'porsche911': 9, 'porsche': 14, '911targa4s': 2, '911': 11, 'targa4s': 2, 'porschetarga': 2, 'ferrarigtc4lussot': 1, 'ferrari': 2, 'gtc4lusso': 1, 'prancinghorse': 1, 'landcruiserpradovx': 1, 'toyotalandcruiserpradovx': 1, 'landcruiserprado': 2, 'landcruiser': 2, 'landcruiservx': 1, 'pradovx': 1, 'prado': 1, 'astonmartinvantage': 1, 'astonmartin': 2, 'aston': 1, 'vantage': 1, 'rangeroverautobiographylwb': 1, 'rangerover': 2, 'autobiography': 2, 'porsche911turbos': 4, '911turbos': 2, 'turbos': 2, 'porscheturbo': 2, 'mercedesbenzbrabus800': 1, 'mercedesbenzbrabus': 2, 'mercedesbenz': 6, 'brabus800': 1, 'brabus': 2, 'bentleyflyingspurhybridkahnedition': 2, 'bentleyflyingspurhybrid': 2, 'bentleyflyingspur': 3, 'bentley': 3, 'flyingspur': 3, 'flyingspurhybrid': 2, 'flyingspurhybridkahn': 2, 'kahnedition': 2, 'astonmartindbs770ultimatecoupe': 2, 'astonmartindbs770': 2, 'dbs': 2, 'dbs770': 2, 'vespa946christiandior': 1, 'vespa946': 1, 'vespa': 1, '946christiandior': 1, 'vespa946dior': 1, '946dior': 1, 'vespadior': 1, '946': 1, 'christiandior': 1, 'dior': 1, 'motorcycle': 2, 'scooter': 1, 'mercedesbenzmaybachs580': 1, 'mercedesbenzmaybach': 3, 'maybachs580': 1, 'mercedesbenzs580': 1, 'maybach': 3, 'bentleycontinentalflyingspur': 1, 'bentleycontinental': 1, 'continentalflyingspur': 1, 'continental': 1, 'hondacbr1000rr': 1, 'hondacbr': 1, 'honda': 1, 'cbr': 1, 'cbr1000': 1, 'cbr1000rr': 1, 'mogejakarta': 1, 'porsche911gt3': 5, 'gt3': 5, '911gt3': 2, 'lamborghinirevuelto': 2, 'revuelto': 2, 'rangeroverautobiography': 1, 'porsche911gt3rsweissach': 2, 'porsche911gt3rs': 2, '911gt3rsweissach': 1, '911gt3rs': 2, 'weissach': 1, 'gt3rs': 2, 'mercedesbenzbrabuss50': 1, 'brabuss50': 1, 's50': 1, 'porschecaymangt4': 2, 'porschecayman': 2, 'caymangt4': 2, 'cayman': 2, 'gt4': 2, 'mercedesbenzmaybachgls680': 1, 'maybachgls680': 1, 'gls680': 1, 'mclaren': 2, 'mclarengt': 2, 'grandtouring': 2, 'supercar': 2, 'supercarjakarta': 2, 'luxurycar': 3, 'jakartaluxurycar': 2, 'porsche993carreras': 2, 'porsche993': 2, 'porschecarreras': 2, '993': 2, 'carreras': 2, 'ferrari296gtb': 1, '296gtb': 1, 'gtb': 1, 'ferrarijakarta': 1, 'mercedesbenzmaybachgls600': 1, 'maybachgls600': 1, 'gls600': 1, '911turbo': 1, 'porscheturbos': 1, 'toyotagrandacepremium': 1, 'toyotagrandace': 1, 'toyotagrandacepremium8seater': 1, 'grandacepremium': 1, 'grandace': 1, 'mercedesbenzamgcla45s': 1, 'mercedesbenzamg': 1, 'amg': 1, 'cla45s': 1, 'astonmartindbx707': 1, 'dbx': 1, 'dbx707': 1, 'astonmartinsuv': 1, 'luxurysuv': 1, 'performancesuv': 1, 'cabriolet': 2, 'turbo': 2, 'hummerh3ev': 2, 'hummer': 2, 'hummerev': 2, 'hummerh3': 2, 'h3': 2, 'h3ev': 2, 'lamborghiniaventadorlp700': 2, 'lamborghiniaventador': 1, 'lp700': 1, 'porsche911st': 1, 'porschejakarta': 1, 'fordmustangecoboostfastback': 1, 'fordmustangecoboost': 2, 'fordmustangfastback': 2, 'mustang': 2, 'ford': 2, 'bmwx3mcompetition': 1, 'bmwx3m': 1, 'bmw': 1, 'x3mcompetition': 1, 'bmwcompetition': 1, 'bmwm1000rr': 1, 'bmw1000rr': 1, '1000rr': 1, 'bmwmseries': 1, 'mseries': 1, 'm1000rr': 1, 'allnewmustang': 1, 'mustangecoboost': 1, 'fordbroncowildtrak': 1, 'fordbronco': 1, 'bronco': 1, 'wildtrak': 1, 'toyotalandcruiserpradovxr': 1, 'vxr': 1, 'landcruiservxr': 1, 'pradovxr': 1, 'carlifestyle': 1, 'exoticcar': 1, 'sportcar': 1}"
1,157687,456.82,7.26,0.2943,0.1668,25,13,4,8,3.92,"{'mufgjaw': 21, 'mufgjaw2024': 21, 'gjaw': 18, 'anothergiiasseries': 19, 'mandiriutamafinance': 3, 'wujudkansemuamimpi': 3, 'jakartaautoweek': 3, 'muf_gjaw2024': 1, 'gjaw2024': 1, 'haripahlawan': 1, 'haripahlawannasional': 1, 'sevenevent': 3, 'sumpahpemuda': 1, 'pancasila': 1, 'kesaktianpancasila': 1}"
2,369888,2154.35,27.84,0.59,0.3956,112,37,40,35,3.402,"{'mandiriutamafinance': 5, 'wujudkansemuamimpi': 5, 'gjaw': 5, 'gjaw2024': 5, 'jakartaautoweek': 5, 'mufgjaw2024': 3, 'otodriver': 66, 'jetour': 3, 'hyundain': 1, 'neverjustdrive': 1, 'highperformanceev': 1, 'ioniq5n': 1, 'hyundainmandalika': 1, 'waktunyahyundai': 2, 'carspotting': 1, 'taipei': 1, 'taiwan': 1, 'roadtrip': 2, 'welovetodrive': 2, 'mitsubishi': 4, 'triton': 2, 'camping': 2, 'jetourt2': 1, 'kia': 1, 'kiaindonesia': 1, 'mercedesbenz': 1, 's': 1, 's450presidentedition': 1, 'mazdamx30': 2, 'hyundaitucson': 1, 'lapormaswapres': 1, 'mazda': 3, 'allnewsantafe': 2, 'hondacrv': 1, 't2': 2, 'fuzhou': 2, 'china': 2, 'offroadvehicle': 1, 'offroad': 1, 'luthfiaziz11': 7, 'bmwm2': 2, 'bydseal': 1, 'aionhyptecht': 1, 'phev': 1, 'driveforfood': 4, 'shell': 1, 'jakarta': 2, 'jogja': 2, 'maxus': 1, 'mifa7': 1, 'mifa9': 1, 'uabs': 1, 'evbattery': 1, 'suzukievx': 1, 'suzukievitara': 1, 'miniaceman': 1, 'mitsubishitrainingcenter': 1, 'mitsubishidstconcept': 1, 'baicbj80': 1, 'mobillistrik': 1, 'gaikindo': 2, 'otorider': 14, 'hargabbm': 2, 'cheryj6': 1, 'bmwm4cs': 1, 'mercedesbenzs680guard': 1, 'prabowo': 2, 'baic': 1, 'bj40plus': 1, 'aditwidiutomo': 1, 'dieng': 1, 'diengplateau': 1, 'jawatengah': 1, 'desasembungan': 1, 'desatertinggidijawa': 1, 'imos2024': 11, 'pameranmotor': 11, 'aisi': 11, 'fifgroupsatusolusipembiayaan': 11, 'leapmotor': 2, 'giiassemarang': 5, 'hyundai': 3, 'santafe': 2, 'ferrari': 1, 'innovationmeetsinspiration': 1, 'giias2024': 2, 'driveinjuly': 1, 'pameranotomotif': 1, 'pameranmobil': 1, 'ikn': 2, 'byd': 3, 'giiassemarang2024': 4, 'mobilbarubanyak': 1, 'giiastheseries': 5, 'citroen': 2, 'basalt': 1, 'citroenindonesia': 1, 'm6': 1, 'kapalapi': 1, 'signaturestrong': 1, 'banyakmobilbaru': 4, 'maungpindad': 1, 'mv3garudalimousine': 1, 'sahabatgiias': 1, 'bustruckid': 1, 'prabowosubianto': 1, 'gibranrakabumingraka': 1, 'ferrarif80': 1, 'hyptecht': 1, 'gacaion': 1, 'ibukotanusantara': 1, 'dealermazda': 1, 'mazdafatmawati': 1, 'toyotarangga': 1, 'toyotahiluxrangga': 2, 'parismotorshow': 1, 'daihatsukumpulsahabat': 7, 'daihatsukumpulsahabatsidoarjo': 5, 'daihatsu': 4, 'daihatsugranmax': 1, 'xetiawithxenia': 1, 'kumpulsahabatdaihatsusidoarjo': 1, 'kumpulsahabatdaihatsu': 1, 'toyota': 1, 'daihatsusahabatku': 2, 'chery': 2, 'tiggo8': 1, 'surabaya': 1, 'mercedesbenzglc300': 1, 'imx': 1, 'imx2024': 1, 'marissahaque': 1, 'suzukiesteem': 1, 'hyundaikonaelectric': 1, 'konaelectricmediatestdrive': 1, 'uismv': 1, 'kmhe2024': 1, 'energyforthefuture': 1, 'gogreengofar': 1, 'wulingmotors': 1, 'driveforabetterlife': 1, 'wulingevabc': 1, 'cloudev': 1, 'drivingthefutureofcomfort': 1, 'rollsroycespectre': 1, 'luxurycars': 1, 'bmwxm': 1, 'motogp': 1, 'motogpmandalika': 1, 'netax': 1, 'mitsubishixpandercross': 1, 'mitsubishitriton4x4': 1, 'pengalengan': 1, 'pengalenganbandung': 1, 'giiasbandung2024': 2, 'cheryomoda5': 1, 'omoda5': 1, 'cheryindonesia': 1, 'ncap': 1, 'omoda': 1, 'cheryfamily': 1, 'aseanncap': 1, 'campingtrip': 1, 'allnewtriton': 1, 'shellvpowerdiesel': 1, 'dragrace': 1, 'bydsealperformance': 1, 'giiasbandung': 1, 'otomotifseru': 1}"
3,686190,25117.25,1271.12,3.8456,4.159,274,201,5,68,0.215,"{'bangkitkansemangatindonesia': 2, 'kitagaruda': 2, 'bersamagaruda': 1, 'garudamendunia': 2, 'timnasday': 2, 'jerseytimnas': 2, 'timnasindonesia': 2, 'pertiwiberani': 1, 'jerseyfantasy': 2, 'jerseyfantasytimnas': 2, 'garudarevolution': 3, 'garudadidadaku': 2, 'ultrasgaruda': 2, 'timnasu21': 1, 'bagimunegeri': 2, 'jerseyretro': 2, 'jerseyvintage': 2, 'jerseyprinting': 1, 'jerseyfutsal': 1, 'endmityclover': 2, 'lagrandeindonesia': 1, 'endmitycloverindonesia': 2, 'endmitycloverworld': 1, 'bringbackglory': 1, 'kingindo': 1, 'garudafans': 1, 'ikhlas': 1, 'gothiacup2025': 1, 'meettheworldindonesia': 1, 'indonesia': 2, 'skf': 1, 'girlsschoolchallenge': 1, 'gothiacup': 1, 'jersey': 1, 'afcmafia': 1, 'timnasu23': 1, 'janganganggutimnaskami': 1, 'ligaanakindonesia': 1, 'season1': 1, 'mediapartner': 1, 'kompetisiusiadini': 1}"
4,220647,4401.4,62.63,2.0232,1.9513,4,1,1,2,0.75,"{'meme': 1, 'satire': 1, 'stevansyoung': 1}"
5,199534,11105.23,58.54,5.5949,17.0256,22,0,21,1,4.409,"{'mobilelegendsinfo': 3, 'mlbbindonesia': 9, 'mlbbindo': 4, 'grangermlbb': 1, 'grangermobilelegends': 1, 'mlbb': 3, 'brunomlbb': 1, 'brunomobilelegends': 1, 'mobilelegendsbangbang': 9, 'mlbbtips': 10, 'mlbbinfo': 5, 'zhuxin': 1, 'zhuxinmlbb': 1, 'mlbbofficial': 1, 'moontonindonesia': 3, 'mobilelegends': 10, 'mlbuild': 1, 'mlbbguide': 1, 'angelamlbb': 1, 'angelamobilelegends': 1, 'mlbbmoment': 3, 'yvemlbb': 1, 'yvemobilelegends': 1, 'alicemobilelegends': 2, 'alphamlbb': 1, 'alicemlbb': 1, 'khaleedmobilelegends': 1, 'khaleed': 1, 'hayabusamlbb': 1, 'hayabusamobilelegends': 1, 'cecilionmlbb': 1, 'cecilion': 1, 'auroramlbb': 1, 'auroramobilelegends': 1, 'claude': 1, 'claudemlbb': 1, 'arlott': 1, 'arlottmlbb': 1, 'mobilelegendsindo': 1, 'mobilelegendsid': 1, 'phoveus': 1, 'alphamobilelegends': 1, 'mplids14': 1, 'weownthis': 1, 'mobilelegendsindonesia': 1, 'sunmlbb': 1, 'sunmobilelegends': 1}"
