Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary),Unnamed: 0
1811551,26212.84,145.84,1.455,0.7947,13,0,2,11,0.0,{},
27521485,731834.07,3964.1,2.6735,4.405,7,0,2,5,0.0,{},
1180207,154382.52,1755.34,13.2297,0.5307,1,0,0,1,3.0,"{'mengukirsejarah': 1, 'indopride': 1, 'pmgc2024': 1}",
7994281,201394.06,628.37,2.5271,1.5076,29,4,8,17,0.655,"{'promomerchantbri': 1, 'brimo': 1, 'sabrina': 1, 'edcbri': 1, 'brimofstvl', 'bebytsabrina': 1, 'kamipedulistunting': 2, 'mdentertainment': 1, 'mdentertainmentfoundation': 1, '1000daysfund': 1, 'saptojoss25': 1, 'shampoorambutrontok': 1, 'leaveonconditioner': 1, 'conditioner': 1, 'waktunyakelaya': 1, 'kelayahairtreatment': 1, 'bvlgarijewelry': 1, 'bvlgariholidays': 2, 'bvlgariwatches': 1, 'bvlgari': 2}",
35137412,291341.05,2557.12,0.8364,0.4342,30,4,26,0,0.833,"{'youcandoanything': 3, 'makemehappy': 12, 'makemehappysweepstakes': 2, 'iheartjingleball': 1, '1': 1, 'cat': 1, 'cats': 1, 'kitten': 1, 'kittens': 1, 'catlovers': 1, 'catlife': 1}",
27421149,150723.02,3042.12,0.5608,0.1551,35,2,24,9,0.0,{},
7146979,700613.67,5303.04,9.8771,5.8659,4,0,0,4,0.0,{},
7900796,94032.52,642.67,1.1983,0.6597,48,16,16,16,1.5,"{'allahummashollialamuhammad': 1, 'mashaallahtabarakallah': 1, 'alhamdulillah': 1, 'syakirdaulay': 8, 'makbeti': 1, 'sitkom': 1, 'uangjajandarirasulullah': 2, 'santriracing': 1, 'presidenijotomat': 8, 'salamhangatsyakirdaulay': 7, 'actorproducersutradamuda': 2, 'gaulteteptaat': 4, 'taattapiasik': 2, 'ikatanjombloterhormat': 5, 'janganlupasholawat': 2, 'huntingberkah': 1, 'masyaallahtabarakallah': 1, 'horseriding': 1, 'syakirevent': 1, 'experiencewithsyakirdaulay': 1, 'tanahbumbu': 1, 'kalimantanselatan': 1, 'nurulmushtofaindonesia': 1, 'harisantri': 1, 'darisantriuntuknegri': 1, 'keepcalm': 1, 'keepspirit': 1, 'keeptawakkal': 1, 'cumabantuinorangngidam': 1, 'janganlupangaji': 1, 'selfreminder': 1, 'yasalam': 1, 'syakirmusic': 1, 'actorproducersutradaramuda': 2, 'hambaallah': 2, 'jomblohighquality': 2, 'taattetepasik': 2}",
8277231,266408.27,1143.38,3.2324,3.1181,2,0,0,2,0.0,{},
8660319,55255.08,150.44,0.6398,0.0008,12,1,4,7,0.083,{'blackhorse188': 1},
8082677,19130.35,135.52,0.2384,0.1527,156,11,101,44,4.724,"{'pilkada2024': 13, 'pilkadakotabatu': 12, 'krida': 34, 'batuseru': 26, 'kotabatu': 68, 'koncodewe': 25, 'krisdayanti': 62, 'kotabatumaju': 35, 'umkmkotabatu': 14, 'kotabatumalang': 3, 'pdiperjuanganjatim': 13, 'rismagushans': 3, 'pdiperjuangan': 15, 'resikresikjawatimur': 3, 'trirismaharini': 2, 'batumaju': 7, 'aspirasibersama': 1, 'suarakanperubahan': 1, 'kd': 2, '3diva': 1, 'gwk': 1, 'wanitamandiri': 1, 'cintabudayabatu': 1, 'bantenganbatu': 2, 'banggabatu': 1, 'mudaberbudaya': 1, 'lestarikantradisi': 1, 'batukotakita': 1, 'gkjwbatu': 1, 'teraskrida': 13, 'masdewa': 12, 'kotabatuistimewa': 12, 'login': 12, 'kolaborasa': 12, 'kolaborasyik': 12, 'tandangbareng': 12, 'tandangbener': 12, 'tandangtemen': 12, 'umkm': 12, 'pilkadakotabatu2024': 13, 'susubatu': 1, 'batumendunia': 2, 'produklokalbatu': 1, 'kridanita': 2, 'umkmbatu': 4, 'bungakotabatu': 1, 'bungapotongsegar': 1, 'bungasegarkotabatu': 1, 'bawanggorengcanggih': 1, 'kridabersamaumkm': 1, 'petanibatu': 3, 'petanikotabatu': 2, 'pertanianmaju': 1, 'pilgubjatim': 2, 'jawatimur': 3, 'gushans': 1, '1111': 1, 'wayangkulit': 2, 'melestarikanbudaya': 2, 'senitradisional': 2, 'hariwayangnasional': 3, 'srikandikridha': 2, 'krisdayantilemos': 2, 'petanisejahtera': 2, 'pertanianbatu': 1, 'teknologipertanian': 1, 'pembangunanbatu': 2, 'pendidikangratis': 1, 'pelindungananak': 1, 'kebudayaanbatu': 2, 'debatpilkadakotabatu': 1, 'repost': 6, 'temanpemilih': 2, 'kpumelayani': 2, 'pilkadaserentak2024': 2, 'pilkadasantunbeda': 2, 'anggaanggi': 2, 'debatpublik': 2, 'kerukunanumatberagama': 1, 'ldii': 1, 'srikandikrida': 1, 'mendunia': 1, 'cintabatu': 1, 'majubatu': 1, 'pemimpinbatu': 1, 'visibatu': 1, 'batuwisata': 1, 'pilkadabatu2024': 5, 'sekjenpdiperjuangan': 1, 'risma': 1, 'rempeyekistimewa': 1, 'iburisma': 1, 'pemimpininspiratif': 1, 'mimbarakademik': 1, 'malangraya': 1, 'pembangunanberkelanjutan': 1, 'universitasbrawijaya': 1, 'albumionser': 1, 'albumkonserkd': 1, 'komsersemestakrisdayantiaudio': 1, 'konserkd2023': 1, 'mawarbatu': 1, 'jatimresik': 1, 'jagonyamusik': 5, 'kfcindonesia': 4, 'wushuindonesia': 1, 'budayalokal': 1, 'mberot': 1, 'kresnadewanata': 1, 'tongsongopercussion': 1, 'budayakotabatu': 1, 'debatkpukotabatu': 1, 'walikotabatu': 2, 'calonwalikotabatu': 2, 'batumalang': 2, 'divaindonesia': 1, 'debatcalonwalikotabatu': 1, 'pasaramongtani': 1, 'amongtanibatu': 1, 'wealthexpo': 1, 'pilkadabatu': 1, 'pilwakotbatu': 1, 'toleransiberagama': 1, 'dhammadipaarama': 1, 'gerabahbatu': 1, 'jobfair': 1, 'senimanberkarya': 1, 'budidayaanggrek': 1, 'kompetisianggreknasional': 1, 'anggrekbatu': 1, 'perubahanpositif': 1, 'amoralemos': 1, 'aurelhermansyah': 1, 'livealbumkonsersemesta': 1, 'timangtimang': 1, 'bertubitubi': 1, 'batikredsoga': 1, 'pesonabatu': 1, 'banggabuatanindonesia': 1, 'batikgointernational': 1, 'kotabatumendunia': 1, 'bantengankotabatu': 1, 'batikbatu': 1, 'genb': 2, 'genbanteng': 2, 'pdip': 2, 'pilkadajatim': 1, 'megawati': 1, 'megawatisoekarnoputri': 1, 'top1': 1, 'topsellingchart': 1, 'konsersemestakrisdayanti': 1, 'pedulitani': 1, 'krisdayantiuntukbatu': 1, 'gerebekwarga': 1, 'temuwarga': 1, 'tokokainnavin': 1, 'daribatuuntukbatu': 1, 'pilkada': 1, 'superdiva': 1, 'konsersuperdiva': 3, 'jeepgirl': 1, 'mawarbatugointernational': 1, 'kesejahteraanpetani': 1, 'mawarberkualitas': 1, 'petanimaju': 2, 'gunungsari': 1, 'dukungproduklokal': 1, 'kulinerkhasbatu': 1, 'kulinerlegendaris': 1, 'jaminankesehatan': 1, 'wisatakesehatanbatu': 1, 'grebegkoncodewe': 1, 'dusunkrajan': 1, 'petaniapel': 1, 'apelbatu': 1, 'gointernational': 1, 'desagunungsari': 1, 'petanibunga': 1, 'sapiperah': 1, 'batugointernational': 1, 'pesantrengodigital': 1, 'ponpeshadramaut': 1, 'inovasipendidikan': 1, 'umkmindonesia': 1, 'umkmnaikkelas': 1, 'umkmmalang': 1, 'dukungwisatalokal': 1, 'explorebatu': 1, 'jatimpark1': 1, 'nasdem': 1, 'kotabatubersih': 2, 'batupedulilingkungan': 2, 'batuzerowaste': 2, 'kelolasampah': 2, 'sampahbijak': 2, 'batusehattanpasampah': 2, 'timelesshermony': 1, 'aremania': 1, 'tragedikanjuruhan': 1, 'pilwalkotbatu': 1, 'makinhepidiruangdigital': 2, 'bedahrumah': 1, 'kesejahteraanrakyat': 1, 'artexhibition': 1, 'batukreatif': 1, 'dukungumkm': 1, 'umkmbatumaju': 1, 'ekonomilokal': 1, 'kemandiriankota': 1, 'lansiatangguh': 2, 'bersamauntukrakyat': 2, 'krisdayantipeduli': 1, 'disabilitasberdaya': 1, 'lingkunganbersih': 1, 'krisdayantiuntukpetani': 1, 'inovasipertanian': 1, 'aspirasiuntukpetani': 1, 'pertaniancerdas': 1, 'gerebekkoncodewe': 2, 'pedulistunting': 1, 'kesehatananak': 1, 'apeldanbunga': 1, 'kotawisata': 1, 'sambangwarga': 1, 'petanibungabatu': 1, 'petaniapelbatu': 1, 'perekonomianlokal': 1, 'pilkadadamai': 1, 'kotabatu2024': 1, 'serukankotabatu': 1}",
8580337,293140.57,3361.57,3.4556,1.93,52,3,30,19,0.923,"{'malakaprojectxkapalapi': 1, 'discoveringwellness': 1, 'matematika': 5, 'mantappuacademy': 1, 'senyuminduluaja': 1, 'diaryjerome': 3, 'ajinomotohealthprovider': 1, 'pesanbuatjerawat': 1, 'eksponen': 1, 'casablancahomme': 1, 'scentsthatmaximizeyou': 1, 'satsetstrepsils': 1, 'leminerale': 1, 'lemin': 1, 'kebaikanmineralterlindungi': 1, 'galaxys24': 1, 'galaxys24fans': 1, 'galaxyal': 1, 'almpoweryou': 1, 'cpns': 1, 'jeromepolin': 2, 'gemini': 1, 'geminiacademy': 1, 'tissotmotogp': 2, 'tissotmandalikagp': 2, 'officialtimekeeper': 2, 'watchcornerid': 2, 'tissot': 1, 'tissotindonesia': 1, 'timeinternational': 2, 'nutrisinikmatindonesiadukungakalcermat': 1, 'frisianflaguhtomega': 1, 'kekuatanuntukmenang': 1, 'math': 1, 'motogp': 1, 'mandalika': 1}",
12257876,124797.05,1742.66,1.0323,0.5869,203,7,159,37,0.473,"{'kingcobra': 3, 'indonesia': 5, 'instagram': 1, 'india': 2, 'reelsinstagram': 1, 'instagood': 1, 'snake': 1, 'explore': 1, 'dogsofinstagram': 1, 'cats': 1, 'animals': 3, 'viral': 2, 'cnn': 1, 'nbc': 1, 'bbc': 1, 'news': 1, 'workout': 1, 'reels': 1, 'music': 1, 'brasil': 1, 'tehran': 2, 'iran': 2, 'uzbekistan': 1, 'china': 1, 'wildencounters': 1, 'greenanaconda': 1, 'underwateradventure': 1, 'amazon': 1, 'snakes': 1, 'wildlife': 1, 'crazy': 1, 'unique': 1, 'adventure': 1, 'mysterious': 1, 'bliss': 1, 'venezuela': 3, 'travel': 1, 'spermwhale': 1, 'oceangiant': 1, 'deepsealegend': 1, 'whale': 1, 'whatabeautifullife': 1, 'peace': 1, 'power': 1, 'giant': 1, 'apex': 1, 'predator': 1, 'ocean': 1, 'oceanlife': 1, 'oceanlover': 1, 'moodeng': 1, 'hippo': 1, 'africa': 1, '1': 2, 'fastandfurious': 1, 'family': 1, 'iam1stphorm': 3, 'australia': 1, 'architecture': 1, 'bamboo': 1, 'neios': 1, 'recovery': 1, 'pemf': 1, 'shockwavetherapy': 1, 'hyperbaricchamber': 1, 'exoticanimalexpert': 1, 'mumbai': 1, 'baldeagle': 1, 'usa': 1, 'america': 1, 'merica': 1, 'alshadahmad': 1, 'persaudaraan': 1, 'perjalanansatwaliar': 1, 'pengalamanblackhouse': 1, 'poweredby1stphorm': 3, 'anaconda': 1}",
1310612,83808.22,364.41,6.4224,4.411,2,0,1,1,0.0,{},
1342110,102364.91,457.03,7.6612,6.766,9,0,3,6,0.0,{},
7107972,56804.89,609.46,0.8077,0.5424,37,3,6,28,0.784,"{'ultimaii': 3, 'myhydraritual': 1, 'hydrabotanic': 2, 'timelessultimatebeauty': 2, 'hydraritual': 1, 'cfc': 1, 'ipanemawithmikha': 3, 'ipanemaclub': 3, 'ipanemaindonesia': 2, 'bvlgari': 2, 'bvlgarijewelry': 2, 'dilanjutkansalahdisudahiperih': 1, 'bzero1': 1, 'dsdp': 1, 'mikhatambayong': 1, 'worldheartday': 1, 'wpmc2024': 1, 'ultimaiiturns65': 1}",
6181000,67488.02,409.78,1.0985,0.4769,26,7,7,12,1.192,"{'fromindototheworld': 3, 'atlasbeachfest': 1, 'atlassuperclub': 1, 'neverstopflying': 1, 'atlasphere': 1, 'nightclub': 1, 'bestnightclubbali': 1, 'biggestnightclubbali': 1, 'bali': 1, 'canggu': 1, 'lancomeid': 1, 'genifique': 1, 'diorsauvage': 1, 'poweredbywater': 1, 'diorbeauty': 1, 'nontondiwetv': 2, 'wetvindonesia': 2, 'wetvid': 2, 'wetvoriginal': 2, 'jangansalahkanakuselingkuh': 2, 'marshanda': 1, 'giorginoabraham': 2, 'sekotengs': 1}",
1899021,168822.75,621.81,8.9227,8.8957,6,0,2,4,0.0,{},
5852531,464817.15,2515.07,7.9851,4.7334,7,0,3,4,0.0,{},
5553767,193470.57,2237.57,3.5239,1.6276,12,0,6,6,2.25,"{'weirdgenius': 3, 'dj': 2, 'titituwit': 1, 'ade': 1, 'monstercat': 1, 'sabilulungan': 1, 'nyundaheula': 1, 'dnb': 2, 'rave': 1, 'metal': 2, 'askingalexandria': 2, 'metalhead': 1, 'remix': 2, 'wg': 1, 'edm': 1, 'party': 1, 'music': 1, 'metalheads': 1, 'drumandbass': 1, 'badblood': 1}",
5504035,65608.2,614.56,1.2032,0.3529,3,0,2,1,0.0,{},
15503081,102893.23,1002.21,0.6702,1.2271,16,0,6,10,0.375,"{'deletedsoon': 1, 'livemylife': 1, 'vacation': 1, 'canthardlywait': 1, 'halloween24': 1, 'bettyboop': 1}",
5407407,158457.37,2293.82,2.9728,1.2743,7,1,1,5,1.143,"{'albumcover': 1, 'likethat': 1, 'wedonttrustyou': 1, 'cosplay': 1, 'shopeefooddiskonramerame': 1, 'shopeefood': 1, 'mendingshopeefood': 1, 'shooting': 1}",
5327467,217496.35,1102.64,4.1032,2.3651,18,4,7,7,0.333,"{'stretchmarks': 1, 'stretchmark': 1, 'stretchmarkserum': 1, 'stretchmarkoil': 1, 'ciaraindonesia': 1, 'marlenebdayrocktheboat': 1}",
5247276,44043.18,394.33,0.8469,0.3082,10,2,6,1,3.3,"{'janganpandangbelakang2': 2, 'akutahuasalusulmu': 2, 'jpb2': 1, 'janganpandangbelakang': 1, 'pierreandre': 2, 'emmamaembong': 2, 'iedilputra': 2, 'seributahun': 4, 'radiusone': 2, 'ramadan2025': 1, 'dramaradiusone': 2, 'radiusoneofficial': 2, 'alifhadi': 1, 'mawarrashid': 1, 'khatijahtan': 1, 'berryoat': 1, 'mynivea': 1, 'nivealuminous630': 1, 'disahkanolehpakar': 1, 'niveauntukkulit': 1, 'kulitbebascela': 1, 'berryshape': 1}",
4068179,29236.03,542.49,0.732,0.0784,8,0,7,1,3.125,"{'1': 1, 'trader': 1, 'crypto': 1, 'cryptotrader': 1, 'cryptocurrency': 1, 'forex': 1, 'forextrading': 1, 'forexlifestyle': 1, 'xlifestyle': 1, 'forexsignals': 1, 'easyforex': 1, 'internetmoney': 1, 'daytrader': 1, 'sidehustle': 1, 'onlinebusiness': 1, 'tradingpodcast': 1, 'podcast': 1, 'financialfreedom': 1, 'wifimoney': 1, 'onlinemoney': 1, 'trendingreel': 1, 'viral': 1, 'wayond': 1, 'wayondtv': 1, 'wayondpocast': 1}",
5185011,40401.1,634.78,0.7914,0.5484,46,2,17,27,0.978,"{'notreadytogetoveryou': 8, 'sonderera': 4, 'aneveningwithafgan': 6, 'mtvasia': 2, 'afgan': 2, 'backstagepass': 2, 'afganliveinsingapore2024': 1, 'burberry': 1, 'itsalwaysburberryweather': 1, 'yslbeauty': 1, 'yslbeautyid': 1, 'yslholiday': 1, 'louisvuitton': 1, 'adriand': 1, 'terimakasihsudahbertahan': 1, 'adaliveinkl': 3, 'afganliveinpenang2024': 1, 'adaliveinkl2024': 2, 'afganlyodra': 1, 'knockmeout': 1, 'escape': 1, 'doyoung': 1, 'doyoung_dear_youth': 1, 'jakarta': 1}",
1791981,53809.66,225.66,3.0154,3.5795,7,0,1,6,0.571,"{'worldcupround3': 1, 'kitagaruda': 1, 'manyalaborneo': 1, 'tigatahunsabine': 1}",
4401643,155414.59,2326.3,3.5837,1.6159,11,1,10,0,0.182,"{'im3collabonationtalenthunt': 1, 'selalunyambungdenganim3': 1}",
4428080,234159.03,556.37,5.3006,1.0273,11,1,4,6,2.182,"{'filmpetakumpet': 3, 'petakumpet': 3, 'pawpictures': 3, 'pichousefilms': 3, 'coachny': 2, 'coachindonesia': 2, 'sunscreenuvduo': 1, 'glowandlovely': 1, 'mkfallid': 1, 'mknewarrival': 1, 'mkfall': 1, 'valiram': 1, 'micahelkors': 1, 'colbybykors': 1}",
4373672,37089.66,86.05,0.85,0.671,19,1,16,2,0.211,"{'hanyadiclickhouse': 1, 'sudahkeclickhouse': 1, 'clickhousegadingserpong': 1, 'maukeclickhouse': 1}",
7407121,696523.38,1675.74,9.4261,10.0583,29,3,7,19,1.034,"{'sachintendulkarfoundation': 3, 'stf': 3, 'diwali': 1, 'festivemoments': 1, 'ad': 1, 'lorealproindia': 1, 'lorealprofindia': 1, 'lorealprofessionnelhair': 1, 'lorealprofessionnelindia': 1, 'lorealprofessionnelhaircare': 1, 'laneige': 1, 'laneigein': 1, 'opentowonder': 1, 'hydratewithlaneige': 1, 'laneigexsara': 1, 'internationaldayofthegirlchild': 1, 'inga': 1, 'parivaar': 1, 'bvlgari': 1, 'bvlgaricalla': 1, 'bvlgariaccessories': 1, 'partnership': 1, 'classics': 1, 'workwear': 1, 'newshoes': 1, 'fizzygoblet': 1}",
4135006,55438.91,168.62,1.3448,0.0132,6,1,1,4,0.667,"{'wardah': 1, 'wardahliptint': 1, 'liptintlokal': 1, 'liptintviral': 1}",
1096793,95957.22,926.17,8.8333,2.4198,22,1,20,1,0.0,{},
6954832,82248.3,563.69,1.1907,1.5998,36,17,7,12,0.583,"{'justvibeon': 1, 'letsgetvibe': 1, 'playfulnightvibe': 1, 'minumankekinian': 1, 'filmamb': 4, 'filmambyarmakbyar': 3, 'ambyarmakbyar': 3, 'kembalikemsglow': 1, 'ugalugalanmencintaimu': 1, 'deepcleandaridalamglowingdariluar': 1, 'glowingbikinpangling': 1, 'styledbyfab': 1, 'bionstudios': 1, 'ambyarmakbyarfilm': 1}",
5289570,62754.65,149.52,1.1892,2.7794,28,0,11,17,1.929,"{'sunscreenneverseenbefore': 1, 'sunscreenbekasjerawat': 1, 'lorealparisid': 1, 'neverseenbefore': 1, 'skin': 1, 'febbyajatan': 1, 'icecube': 2, 'chopard': 1, 'sculptedbylight': 1, 'iseeyourstory': 1, 'eventconceptor': 1, 'weddingstylist': 1, 'weddingstylistjakarta': 1, 'yakin': 1, 'yakinapayakin': 1, 'yakinnikah': 1, 'filmyakinnikah': 1, 'katespadeny': 2, 'enzystoria': 1, 'bazaarlovesfashion': 1, 'bazaarindonesia': 1, 'digitalcover': 1, 'ledefileloreal': 6, 'walkyourworth': 6, 'lorealparisindonesia': 6, 'lorealparispfw2024': 6, 'lorealparismakeup': 6}",
5330623,144478.31,472.73,2.7192,2.1951,10,0,6,4,0.1,{'sctvaward2024': 1},
