,Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary)
21,4023,52.45,4.89,1.4253,1.305,4,0,3,1,3.25,"{'bogor': 1, 'garasi123': 2, 'jalurpiknik': 1, 'video': 1, 'maenlumpur': 1, 'trabas': 1, 'videoviral': 2, 'gaspoll': 1, 'trabasan': 1, 'halimun': 1, 'enakinaja': 1}"
22,3855,200.11,11.58,5.4912,0.0,0,0,0,0,0.0,{}
23,4118,110.88,3.66,2.7813,2.2827,3,2,0,1,3.333,"{'komododiving': 1, 'divingkomodo': 1, 'divingmauritius': 1, 'mauritiusexplored': 1, 'alpha1': 1, 'ipaphotocontest': 2, 'marinelife': 1, 'photographycontest': 1, 'protectouroceans': 1}"
24,2805,76.63,0.68,2.7562,0.8318,3,0,0,3,1.667,"{'sushihiro': 1, 'sushihiroindonesia': 1, 'museum': 1, 'ullensentalu': 1, 'yogyakarta': 1}"
25,9125,149.64,2.88,1.6714,4.2199,16,0,4,12,0.188,"{'rollteam': 2, 'vinallyputri': 1}"
26,3796,26.27,3.21,0.7766,1.1855,1,0,0,1,0.0,{}
27,7557,922.83,9.69,12.3399,4.0625,1,0,1,0,2.0,"{'ozbreyton': 1, 'bmwe30': 1}"
28,3874,13.67,2.73,0.4235,0.0,0,0,0,0,0.0,{}
29,4560,75.98,3.51,1.7433,2.701,6,0,1,5,13.667,"{'photo': 5, 'photography': 5, 'photoshoot': 5, 'engagement': 1, 'enggagementmakeup': 1, 'enggagementdecoration': 1, 'weddingphotographer': 1, 'weddinginspiration': 1, 'weddingdecor': 1, 'likeforlikes': 4, 'unaaha': 5, 'instagram': 4, 'konawe': 1, 'fotograferkendari': 3, 'weddingreception': 2, 'wedding': 5, 'weddingphotography': 5, 'weddingdress': 4, 'weddingtolaki': 3, 'weddingbusiness': 3, 'tolakines': 3, 'kendari': 4, 'tni': 1, 'tnial': 1, 'tniindonesia': 1, 'weddingvideography': 1, 'cinematography': 1, 'weddingvidgram': 1, 'bridestory': 1, 'weddingjawa': 2, 'photobugcommunity': 1, 'jawa': 1, 'jawaculture': 1, 'fotograferwedding': 1, 'inspirasipernikahan': 1, 'sultra': 1}"
30,2107,143.48,4.19,7.0086,11.4143,2,1,0,1,0.0,{}
