Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
887501,2938.49,45.55,0.3362,0.1609,179,15,155,9,10.704
393264,7633.34,173.28,1.9851,0.251,8,1,3,4,2.75
468457,8003.44,110.77,1.7321,0.6036,12,3,0,9,0.0
501007,4847.59,94.53,0.9864,0.4002,31,11,12,8,4.839
430561,24062.2,165.63,5.627,0.7501,3,0,2,1,0.333
110822,2447.46,2895.53,4.8212,0.6822,29,12,8,9,0.207
116110,3008.88,13.79,2.6033,4.97,10,1,6,3,1.1
200312,1729.75,23.55,0.8753,1.4086,46,0,40,6,8.391
525432,7484.57,219.57,1.4662,3.5489,27,0,27,0,4.296
198019,7486.03,287.4,3.9256,6.6337,24,1,16,7,2.125
248802,6061.86,183.52,2.5102,1.7068,31,0,21,10,3.806
358780,3708.7,32.95,1.0429,0.4482,34,2,29,3,0.441
