Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
96981,88.95,0.04,0.0918,0.0344,31,25,5,1,8.516
13532,53.67,0.09,0.3973,0.0074,1,0,0,1,31.0
62051,1798.69,33.01,2.9519,1.3087,145,0,143,2,6.455
13037,524.26,20.0,4.1747,0.9013,4,0,1,3,0.25
24529,62.94,3.49,0.2708,0.3145,52,17,29,6,4.654
33068,795.86,48.03,2.552,1.4342,4,0,4,0,9.5
16880,212.06,9.48,1.3124,0.0,0,0,0,0,0.0
17739,414.4,56.07,2.6522,0.7244,2,1,1,0,8.5
13591,107.11,2.76,0.8084,4.6796,1,0,0,1,29.0
27321,192.63,8.75,0.7371,0.3642,20,2,5,13,19.95
19519,2433.85,20.85,12.5759,0.4047,1,0,1,0,0.0
25438,54.37,20.39,0.2939,0.1817,36,27,2,7,6.083
64446,1677.45,157.08,2.8466,0.747,5,0,5,0,1.6
37819,291.99,1.43,0.7758,0.0,0,0,0,0,0.0
35919,531.35,6.45,1.4973,0.0,0,0,0,0,0.0
36057,641.51,4.06,1.7904,0.0765,36,0,11,25,1.722
40271,20.88,6.91,0.069,0.0,0,0,0,0,0.0
50883,1038.83,66.07,2.1715,0.0211,4,0,4,0,0.75
67787,4120.78,101.05,6.2281,1.2757,17,6,8,3,3.529
49642,172.67,5.91,0.3598,0.2542,28,0,27,1,1.643
42693,92.09,5.09,0.2276,0.082,1,1,0,0,6.0
177790,3302.18,29.04,1.8737,7.75,27,0,21,6,0.556
64331,73.26,2.08,0.1171,0.5045,55,13,42,0,6.582
92537,11936.29,278.9,13.2003,5.7138,5,2,1,2,2.8
152051,14249.56,50.24,9.4046,5.376,6,1,5,0,0.0
88664,586.03,2.12,0.6634,0.3121,4,2,0,2,0.0
53730,1434.38,354.94,3.3302,0.0,0,0,0,0,0.0
96427,1653.06,71.84,1.7888,0.4957,1,0,0,1,0.0
20333,587.0,2.55,2.8995,0.567,14,1,12,1,3.5
21841,342.51,21.95,1.6687,2.5709,4,0,1,3,0.5
70412,1170.67,47.48,1.73,2.2511,26,0,25,1,1.885
51451,17.92,1.28,0.0373,0.0165,4,3,1,0,0.0
152555,6008.99,116.14,4.015,1.9509,9,2,2,5,0.0
96446,242.46,49.81,0.303,0.2479,44,23,21,0,4.659
82773,71.25,1.04,0.0873,0.122,4,2,2,0,4.25
90932,5678.67,34.28,6.2827,0.7305,9,0,2,7,0.111
96980,2276.4,5.2,2.3527,0.4382,1,1,0,0,0.0
57109,3311.89,139.71,6.0439,0.0,0,0,0,0,0.0
132690,343.01,52.56,0.2981,0.2776,35,1,33,1,6.8
99734,462.87,245.94,0.7107,0.2654,16,3,6,7,0.125
127275,4084.36,51.12,3.2492,0.4529,19,0,15,4,0.316
80116,1085.36,1.81,1.357,3.035,39,5,31,3,11.59
126576,1548.42,37.88,1.2532,1.6819,74,21,35,18,0.865
80578,1043.2,20.96,1.3207,0.6931,24,7,8,9,0.667
55462,3392.14,63.09,6.2299,0.2482,3,1,2,0,0.0
101130,8749.38,314.74,8.9628,3.6811,9,4,1,4,0.222
51447,2620.97,39.94,5.1721,2.6463,11,0,9,2,0.182
88491,809.22,8.89,0.9245,0.8897,113,0,0,113,13.752
72297,1685.67,15.02,2.3524,0.7639,4,0,1,3,0.0
167746,277.75,57.95,0.2001,0.097,60,26,25,9,5.917
57048,2870.47,52.3,5.1234,0.4876,6,1,3,2,1.333
55376,2555.19,73.86,4.7476,0.8643,5,1,1,3,0.0
91222,136.49,2.37,0.1522,0.0,0,0,0,0,0.0
70753,845.43,11.3,1.2109,0.2037,3,2,0,1,0.0
62078,1337.26,18.09,2.1833,0.7794,21,14,7,0,12.714
133840,628.34,14.37,0.4802,0.2948,8,1,4,3,0.25
117539,3601.42,40.02,3.0981,0.0,0,0,0,0,0.0
20792,14.59,0.54,0.0728,0.0,0,0,0,0,0.0
22516,269.44,2.99,1.21,0.0,0,0,0,0,0.0
26886,636.56,40.56,2.5185,3.4345,5,0,2,3,20.6
22467,9.04,0.01,0.0403,0.0,0,0,0,0,0.0
43087,3200.72,32.47,7.5039,8.3035,14,0,10,4,0.143
17951,281.46,20.43,1.6817,1.3158,39,3,26,10,2.872
13556,374.7,25.7,2.9537,0.0,0,0,0,0,0.0
20769,198.51,10.49,1.0063,0.5824,57,1,55,1,8.386
53513,173.32,25.78,0.3721,0.4071,7,1,3,3,0.0
11601,1321.47,10.34,11.4801,0.0,0,0,0,0,0.0
13657,937.05,18.73,6.9984,0.0,0,0,0,0,0.0
16524,547.15,29.53,3.4899,0.8485,15,0,11,4,0.533
9941,448.89,7.93,4.5953,0.0,0,0,0,0,0.0
97912,2040.73,9.68,2.0941,0.8379,5,0,4,1,6.4
9867,40.38,2.62,0.4358,0.5741,20,2,13,5,10.05
16024,283.58,5.67,1.8051,5.2043,15,3,6,6,12.333
71937,2569.31,14.56,3.5919,4.0438,1,0,0,1,31.0
86507,4112.52,21.93,4.779,5.229,21,1,4,16,0.0
