Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary)
223089,2904.56,112.55,1.3524,3.2092,53,0,53,0,5.0,"{'edukasi': 43, 'bahasainggris': 41, 'belajar': 26, 'learnenglish': 17, 'either': 1, 'neither': 1, 'aint': 1, 'slang': 2, 'kampunginggris': 8, 'kampunginggrispare': 4, 'nawid': 1, 'creatorsearchinsights': 1, 'mirahayati': 1, 'finger': 1, 'commonmistakes': 1, 'kesalahanumum': 1, 'lisa': 1, 'lalisa': 1, 'blackpink': 4, 'blink': 4, 'lisablackpink': 1, 'lalisamanoban': 1, 'prabowo': 1, 'presiden': 1, 'president': 1, 'indonesia': 1, 'rosé': 1, 'brunomars': 1, 'some': 1, 'any': 1, 'haters': 1, 'belajarbahasainggris': 5, 'rosè': 1, 'rose': 1, 'jennie': 1, 'kimjennie': 1, 'adele': 1, 'peoplepleaser': 1, 'richardlee': 1, 'dokterrichard': 1, 'drrichard': 1, 'skincare': 1, 'doktif': 1, 'dokterdetektif': 1, 'johnny': 1, 'nct': 2, 'nct127': 1, 'nctzen': 2, 'rm': 1, 'kimnamjoon': 1, 'bts': 1, 'army': 1, 'rmbts': 1, 'rkive': 1, 'mark': 1, 'marklee': 1, 'marknct': 1, 'nctdream': 1, 'agnezmo': 1, 'agnez': 1, 'nauraayu': 1, 'anyway': 1, 'bytheway': 1, 'must': 1, 'haveto': 1, 'jakarta': 1, 'palembang': 1, 'bandung': 1, 'medan': 1, 'surabaya': 1, 'makassar': 1, 'manado': 1, 'samarinda': 1, 'bali': 1, 'kupang': 1, 'justinbieber': 3, 'lonely': 1, 'yummy': 1, 'diddy': 2, 'billieeilish': 1, 'nofreeadi': 1, 'didyouknow': 1, 'doyouknow': 1, 'pronunciation': 4, 'pengucapan': 1, 'idiom': 1, 'spillthetea': 1, 'bahaasainggris': 1, 'its': 1, 'it': 1, 'lolly': 2, 'nikitamirzani': 2, 'laura': 2, 'nikmir': 1, 'fuji': 1, 'fujiutami': 1, 'gala': 1, 'uti': 1, 'richaunty': 1, 'toxic': 1, 'skibidi': 1, 'doyou': 1, 'areyou': 1, 'vocabulary': 1, 'kosakata': 1, 'too': 1, 'also': 1, 'aswell': 1, 'reels': 2}"
173355,5970.29,284.3,3.608,1.6933,34,0,34,0,0.971,"{'dermaliciouschangeme': 1, 'mamikenzo': 1, 'parenting': 1, 'konsultasikeluargasurabaya': 1, 'konselingkeluarga': 1, 'psikologsurabaya': 2, 'motivasi': 2, 'pov': 1, 'kesehatanmental': 2, 'klinikpsikologisurabaya': 2, 'konselingsurabaya': 2, 'caraparenting': 1, 'worldmentalhealthday': 1, 'mentalhealth': 1, 'lebihpasisinya': 2, 'lebihkuatlebihteballebihfun': 1, 'nicejakarta': 1, 'nicejateng': 1, 'nicejatim': 1, 'nicejabar': 1, 'wdcdental': 1, 'annoraaesthetic': 1, 'perawatangigi': 1, 'facial': 1, 'perawatanaesthetic': 1, 'promoperawatan': 1, 'pinhomeservice': 1}"
645355,14072.87,239.01,2.2177,2.972,64,0,63,1,0.984,"{'reels': 59, 'lagidisynchronize': 1, 'boldmusic': 1, 'livebold': 1, 'fyp': 1}"
150701,12224.16,426.46,8.3945,18.7821,30,2,28,0,0.933,{'fyp': 28}
158978,979.32,16.97,0.6267,0.3494,23,5,12,6,0.0,{}
302213,3498.97,20.81,1.1647,0.3913,4,0,1,3,1.0,"{'zx636': 1, 'zx6r': 1, 'zx636r': 1, 'zx636indonesia': 1}"
149567,25749.95,234.51,17.3731,26.7022,23,0,23,0,2.783,"{'backpackerjomblo': 5, 'sembalun': 1, 'lombok': 1, 'indonesia': 17, 'danautoba': 17, 'samosir': 8, 'sumaterautara': 1, 'sumut': 2, 'kursigratisairasia': 1, 'jetski': 1, 'sibeabeasamosir': 1, 'tuktuk': 1, 'sunset': 1, 'adventure': 1, 'explore': 1, 'jawatengah': 1, 'tanatoraja': 1, 'sulawesiselatan': 1, 'tripdanautoba': 1, 'bobocabin': 1}"
217470,20222.12,257.75,9.4173,15.8206,30,0,30,0,0.0,{}
104123,3002.22,42.35,2.924,2.7597,51,3,41,7,8.255,"{'farezafeb': 36, 'evoleneofficial': 1, 'galadinner': 1, 'evosorption': 1, 'evowhey': 1, 'launching': 1, 'friendship': 1, 'brother': 1, 'brotherhood': 1, 'friends': 1, 'bestfriend': 1, 'bodybuilder': 31, 'bodybuilding': 33, 'gym': 27, 'fitness': 24, 'workout': 20, 'gymrat': 16, 'gymmotivation': 14, 'timika': 2, 'papua': 2, 'gymtimika': 1, 'chrisputra': 3, 'chrisputrafamily': 1, 'fitnessmotivation': 4, 'family': 1, 'familytime': 1, 'villa': 1, 'holiday': 1, 'travel': 1, 'prebiotik': 1, 'lencir': 1, 'cutting': 1, 'bulking': 2, 'bloating': 1, 'evolene': 16, 'powerlifter': 2, 'strongman': 4, 'fit': 11, 'iwandsamuray': 1, 'binaraga': 3, 'protein': 5, 'legday': 1, 'bcaa': 1, 'optimumfitnessfair': 4, 'kamijuara': 4, 'ofifa2024': 5, 'rcg': 4, 'bodycontestindonesia': 4, 'bodycontest': 5, 'binaragaindonesia': 6, 'eventbodycontest': 5, 'bodycontest2024': 4, 'yudhistirarajamarta': 2, 'pose': 2, 'testosterone': 1, 'hormon': 1, 'evoboost': 1, 'muscle': 5, 'creatine': 2, 'aderai': 4, 'ekofambudi': 1, 'isaikesek': 1, 'fannifuadi': 1, 'olympia': 1, 'olympian': 2, 'olympialasvegas': 1, 'ifbb': 1, 'ifbbpro': 1, 'mealprep': 1, 'athlete': 2, 'menphysique': 1, 'classicphysique': 1, 'dumbell': 1, 'dumbellworkout': 1, 'dumbellrow': 1, 'challenge': 1, 'gatotkaca': 1, 'infinix': 1, 'gadget': 1, 'hp': 1, 'gaming': 1, 'yudhistira': 3, 'guestpose': 4, 'pumping': 1, 'fitnesslife': 2, 'tips': 2, 'fitnesstips': 2, 'guestposting': 2, 'ofifa': 3, 'guestposers': 1, 'bodybuild': 1, 'yogjakarta': 1, 'atlit': 1, 'batik': 1, 'whey': 1, 'wheyprotein': 1, 'isolene': 1, 'isolate': 1, 'gymlife': 3, 'creator': 1, 'matchmaking': 1, 'tiktok': 1, 'sale': 1, 'diskon': 1, 'promo': 2, 'kalori': 1, 'musclewar': 1, 'agungvikas': 1, 'weightlifting': 1, 'bodyweight': 1, 'beratbadan': 1, 'musclewars': 1, 'wearethestrongest': 1, 'naturalfarm': 1, 'suplemen': 1, 'couple': 1, 'fein': 1, 'urat': 1, 'whittaker': 1, 'outfit': 1, 'ootd': 1, 'gymapparel': 1, 'giantset': 1, 'biceps': 1, 'private': 1, 'shoulder': 1, 'lateralraises': 1}"
705885,127287.37,726.23,18.1352,19.9922,20,1,12,7,0.1,"{'masyaallahtabarakallah': 1, 'allahummabarik': 1}"
232211,9975.56,369.1,4.4549,3.2741,18,0,16,2,4.333,"{'memesdaily': 1, 'jettvalorant': 1, 'valorantmemes': 1, 'brainrot': 1, 'movielanddicomicon': 1, 'telkomselmovieland': 1, 'hiburangahabishabis': 1, 'eventindonesia': 1, 'wibuindonesia': 3, 'indonesiacomiccon': 1, 'fypindonesia': 3, 'trendingindonesia': 1, 'meme': 3, 'relateable': 1, 'fyp': 3, 'trending': 3, 'catmeme': 1, 'kuromi': 1, 'kuromiedit': 1, 'cosplayer': 3, 'nikke': 1, 'happyanniv2nikkeid': 1, 'nikkegoddessofvictory': 1, 'cosplayindonesia': 1, 'wibu': 1, 'gamerindonesia': 2, 'povreels': 1, 'relatable': 1, 'ellenjoe': 1, 'cosplay': 3, 'yoasobi': 1, 'comifuro19': 1, 'erriaeri': 1, 'event': 1, 'memeindonesia': 2, 'hutaocosplay': 1, 'wkwk': 1, 'kenalinges': 1, 'cosplayerindonesia': 1, 'jikocosplay': 1, 'cosplaygirl': 1, 'yorforger': 1, 'wots': 1, 'tawadireels': 1, 'dinokuning': 1, 'razer': 1, 'midgardianforgers': 1, 'ragnarokorigin': 1, 'rooid': 1, 'japantrip': 2, 'fypreelsinstagram': 1, 'viraldances': 1, 'asianbeauty': 1, 'fypchallenge': 1, 'japanlife': 1, 'trendingdance': 1, 'eventjejepangan': 1, 'eventjepang': 1, 'cosplaycorner': 1, 'guestcosplay': 1, 'erriaerri': 1}"
597310,89801.29,957.88,15.1947,4.4763,20,2,17,1,0.0,{}
161780,1093.76,22.27,0.6898,1.3513,114,24,74,16,5.868,"{'shanity': 12, 'marshed': 80, 'revublicmarshed': 85, 'repost': 6, 'nontondiwetv': 4, 'wetvindonesia': 4, 'wetvid': 4, 'wetvoriginal': 4, 'jangansalahkanakuselingkuh': 45, 'marshanda': 107, 'giorginoabraham': 28, 'stefanwilliam': 25, 'dosmahazenbosch': 13, 'marshanda99': 95, 'chacha': 80, 'niaramadhani': 2, 'anggayunanda': 1, 'sheninacinnamon': 1, 'talkpod': 1, 'jsas': 26, 'listenmarshanda': 1, 'coversong': 1, 'beyonce': 1, 'darkretreat': 1, 'scripttoscreen': 1, 'marshandacommunity': 1, 'throwback': 3, 'bencibilangcinta': 1, 'baimwong': 1, 'vickynitinegoro': 1, 'kisahsedihdihariminggu': 2, '2004': 1, 'riomotret': 2, 'marshanda9': 2, 'bidadari': 1, 'inloveagain': 2, 'dennysumargo': 1, 'lisa': 1, 'lisablackpink': 1, 'emilmario': 3, 'fendychow': 1, 'indukgajah': 3, 'marshedpoem': 1, '3d': 1, 'cartoon': 1, 'ai': 1, 'bawangputih': 1, 'sienna': 1, 'foryou': 1, 'explore': 1, 'adobe': 1, 'illustration': 1, 'xyzbca': 1, 'latepost': 1, 'wetv': 1, 'presconference': 1}"
422487,82076.86,314.91,19.5016,12.9522,19,0,13,6,1.421,"{'lalaken': 10, 'equestrian': 1, 'horseriding': 1, 'outfitoftheday': 1, 'outfit': 4, 'outfitinspiration': 1, 'beranisehat': 1, 'cukupsetitik': 1, 'sooknco': 1, 'outfitinspo': 3, 'lalakenfits': 3}"
187957,1594.55,43.4,0.8714,1.9667,58,6,46,6,0.0,{}
395919,29817.99,673.51,7.7014,7.5269,54,1,49,4,0.167,"{'pcx160': 1, 'berburucemilanseru': 1, 'gebyarundianindomaret': 1, '36thindomaret': 1, 'semarakulangtahunindomaret': 1, 'persebayaday': 1, 'tenangadabosch': 1, 'akibosch': 1, 'smmegapower': 1}"
214061,19938.57,66.94,9.3457,6.0215,38,0,27,11,6.868,"{'fyp': 23, 'maternity': 3, 'nextnextweek': 1, 'laborprep': 1, 'pregnant': 10, 'miscarriage': 2, 'infertility': 1, 'god': 1, 'jesus': 1, 'love': 1, 'd20': 1, 'singaporeaninkorea': 18, 'recommendation': 16, 'korsgbaby': 11, 'notifam': 5, 'cozystory': 1, 'koreanbabybrand': 1, 'makeup': 5, 'kbeauty': 10, 'cushion': 1, 'ongredients': 1, 'pregnancy': 4, 'lasttrimester': 1, 'momtobe': 4, 'suspectchallenge': 1, 'mentalhealthawareness': 1, 'postpartum': 1, 'prepartum': 1, 'support': 1, 'livinginkorea': 1, 'foreignerslife': 1, 'd': 1, 'babyitems': 1, 'koreababyitems': 1, 'bamboobebe': 1, 'babysafematerial': 1, 'mumshack': 1, 'singaporemums': 1, 'stylekorean': 1, 'christmas': 1, 'adventcalendar': 1, 'koreanmakeup': 1, 'koreanskincare': 1, 'stylekoreanglobal': 1, 'alliwantforchristmasisyou': 1, 'giveaway': 1, '100kfollowers': 1, 'tiktoksg': 1, 'tiktokkorea': 1, 'reelssg': 1, 'youtubesg': 1, 'breastfeeding': 1, 'korean': 4, 'photoshoot': 2, 'soccer': 1, 'trend': 4, 'korea': 3, '????': 1, 'maternityphotography': 1, 'photography': 1, 'sgbeauty': 1, 'thankful': 1, 'grateful': 1, 'blessed': 1, 'lyongi': 1, 'thirdtrimester': 2, '34weeks': 1, 'babymat': 1, 'littlelife': 1, 'bumpdate': 1, '33weekspregnant': 1, 'hemeko': 1, 'kmakeup': 1, 'hongdae': 3, 'firsttimeparents': 1, 'ootd': 1, '33weeks': 1, 'fashion': 1, 'capsule': 1, 'fall': 1, 'koreanstyle': 1, 'houseofhur': 1, 'etreausommet': 1, 'profilephoto': 2, 'seoul': 1, 'modelro': 1, 'seec': 2, 'seeckorea': 1, 'nesting': 1, '??': 1, '?????': 1, '???????': 1, '??????': 1, '??????????': 1, '???': 1, '? ????': 1, 'realtalk': 1, 'morningpost': 1, 'appreciationpost': 1, '30s': 1, 'last20s': 1, 'birthday': 1, 'hohem': 1, 'isteadyv3': 1, 'aitracking': 1, 'tripod': 1, 'smartgadgets': 1, 'tirtir': 1, 'pregnancysafe': 1, 'd63': 1, 'sg': 1, 'skincare': 1, 'klairs': 1, 'mapleenergy': 1, 'autumn': 1, 'travel': 1, 'iphone': 1, 'unboxing': 2, 'apple': 1, 'iphone16pro': 1, 'klairsseoul': 1, 'hairtutorial': 1, 'pregnancyhair': 1, 'vodana': 1, '30weekspregnant': 1, 'chuseok': 2, 'fwee': 1, 'blurrypuddingpot': 1, 'newbag': 1, 'polene': 1, 'poleneseoul': 1, 'mumbag': 1, 'birthdaygift': 1, 'september': 1, 'boymum': 1, 'koreathanksgivingday': 1, 'romans5v3thru5': 1}"
117585,6373.44,68.15,5.4782,3.4391,59,0,59,0,2.254,"{'viral': 14, 'trending': 59, 'fyp': 59, 'fyp?': 1}"
1061034,54289.15,225.98,5.1379,6.0719,17,1,9,7,3.353,"{'viral': 1, 'tendencia': 1, 'humor': 2, 'parati': 1, 'colombia': 5, 'santamarta': 1, 'deporte': 2, 'dios': 1, 'fyp': 1, 'brasil': 5, 'argentina': 1, 'eliminatoria': 1, 'vini': 4, 'balondeoro': 4, 'robo': 2, 'futbol': 3, 'mundo': 4, 'triste': 2, 'españa': 4, 'championsleague': 1, 'realmadrid': 1, 'nikebrasil': 1, 'vamoscolombia': 1, 'seleccioncolombia': 2, 'creadoresdecontenido': 1, 'panama': 1, 'balon': 1, 'messi': 1, 'comedia': 1, 'fifa': 1}"
208056,46415.8,188.89,22.4001,42.9388,17,0,15,2,0.176,"{'indomiekoreanseries': 1, 'ohmygooditsindomie': 1, 'pedesnyabeneran': 1}"
471261,18937.55,29.34,4.0247,7.024,368,235,35,98,1.179,"{'neymar': 204, 'neymarjr': 206, 'vemprawolvz': 4, 'fazteunome': 1, 'sportingbet': 1, 'fazumsportingbetae': 1, 'publi': 1, 'neyday': 7, 'saopaulo': 1, 'calleri': 1, 'lucasmoura': 1, 'copadobrasil': 1, 'brasileirao': 1, 'corte': 1, 'barbeiro': 1, 'regua': 1, 'barbearia': 1}"
177085,3300.79,19.04,1.8747,1.5736,67,26,38,3,1.925,"{'moneyshotmonday': 10, 'ad': 10, 'poorpumpersociety': 36, 'reels': 36, 'septictank': 36, 'texas': 1}"
485475,20800.6,55.21,4.296,4.5063,112,47,42,23,2.589,"{'zzzero': 103, 'zenlesszonezero': 95, 'thewordonsixthstreet': 4, 'yanagi': 14, 'nicole': 1, 'soukaku': 2, 'miyabi': 3, 'zzzblazingbattle': 1, 'virtualrevenge': 2, 'soldier11': 3, 'harumasa': 3, 'happynicoleday': 1, 'happybillyday': 1, 'happyhalloween': 1, 'zzzmoechakkafire': 1, 'burnicewhite': 12, 'lucy': 5, 'spookyscene': 1, 'zzzspecialprogram': 1, 'neweriduhalloween': 1, 'hallowboo': 1, 'piper': 3, 'caesar': 14, 'burnice': 1, 'lycaon': 2, 'grace': 2, 'happylycaonday': 1, 'happypiperday': 1, 'redmoccus': 1, 'memezzz': 2, 'tourdeinferno': 1, 'lighter': 2, 'rina': 2, 'zzzcf': 1, 'creamfields': 1}"
119898,39538.88,387.41,33.3002,45.8077,10,0,10,0,4.9,"{'chongqing': 10, 'china': 8, 'travel': 8, 'cyberpunk': 5, 'infrastructure': 2, 'cityview': 3, '??': 1, 'mazerunner': 1, 'inception': 2, 'tour': 1, 'tourguide': 1, 'nightlife': 1, 'bar': 1, 'travelguide': 1, 'traveltips': 1, 'nature': 1, 'holiday': 1, 'adventure': 1}"
793270,21439.14,20.1,2.7052,2.7184,13,0,11,2,2.615,"{'lifesgood': 13, 'betterlifeforall': 4, 'easytoreadbook': 2, 'smartlifesolution': 3, 'lgdoohads': 1, 'halloween': 1, 'sweetsurprises': 1, 'heatpump': 1, 'bestglobalbrands': 1, 'bgb2024': 1, 'lifezip': 1, 'lgai': 1, 'affectionateintelligence': 1, 'lgwhisen': 1, 'sustainability': 1, 'lgstreamingweek': 1}"
603885,38817.99,134.18,6.4503,3.065,7,0,6,1,6.0,"{'baking': 7, 'dessert': 4, 'bake': 1, 'bakersofinstagram': 5, 'dessertsofinstagram': 4, 'cake': 1, 'cookies': 2, 'pie': 2, 'bread': 4, 'pumpkinpie': 1, 'applepie': 1, 'pecanpie': 1, 'thanksgiving': 1, 'cinnamonbuns': 1, 'cinnamonrolls': 1, 'dessertcourse': 1, 'cookie': 1, 'chocolatechipcookies': 1, 'breadmaking': 1, 'cinnamon': 1, 'breadbaking': 1}"
