Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary),Hashtags_Count,Hashtags_Sum
223089,2904.56,112.55,1.3524,3.2092,53,0,53,0,5.0,"{'edukasi': 43, 'bahasainggris': 41, 'belajar': 26, 'learnenglish': 17, 'either': 1, 'neither': 1, 'aint': 1, 'slang': 2, 'kampunginggris': 8, 'kampunginggrispare': 4, 'nawid': 1, 'creatorsearchinsights': 1, 'mirahayati': 1, 'finger': 1, 'commonmistakes': 1, 'kesalahanumum': 1, 'lisa': 1, 'lalisa': 1, 'blackpink': 4, 'blink': 4, 'lisablackpink': 1, 'lalisamanoban': 1, 'prabowo': 1, 'presiden': 1, 'president': 1, 'indonesia': 1, 'rosé': 1, 'brunomars': 1, 'some': 1, 'any': 1, 'haters': 1, 'belajarbahasainggris': 5, 'rosè': 1, 'rose': 1, 'jennie': 1, 'kimjennie': 1, 'adele': 1, 'peoplepleaser': 1, 'richardlee': 1, 'dokterrichard': 1, 'drrichard': 1, 'skincare': 1, 'doktif': 1, 'dokterdetektif': 1, 'johnny': 1, 'nct': 2, 'nct127': 1, 'nctzen': 2, 'rm': 1, 'kimnamjoon': 1, 'bts': 1, 'army': 1, 'rmbts': 1, 'rkive': 1, 'mark': 1, 'marklee': 1, 'marknct': 1, 'nctdream': 1, 'agnezmo': 1, 'agnez': 1, 'nauraayu': 1, 'anyway': 1, 'bytheway': 1, 'must': 1, 'haveto': 1, 'jakarta': 1, 'palembang': 1, 'bandung': 1, 'medan': 1, 'surabaya': 1, 'makassar': 1, 'manado': 1, 'samarinda': 1, 'bali': 1, 'kupang': 1, 'justinbieber': 3, 'lonely': 1, 'yummy': 1, 'diddy': 2, 'billieeilish': 1, 'nofreeadi': 1, 'didyouknow': 1, 'doyouknow': 1, 'pronunciation': 4, 'pengucapan': 1, 'idiom': 1, 'spillthetea': 1, 'bahaasainggris': 1, 'its': 1, 'it': 1, 'lolly': 2, 'nikitamirzani': 2, 'laura': 2, 'nikmir': 1, 'fuji': 1, 'fujiutami': 1, 'gala': 1, 'uti': 1, 'richaunty': 1, 'toxic': 1, 'skibidi': 1, 'doyou': 1, 'areyou': 1, 'vocabulary': 1, 'kosakata': 1, 'too': 1, 'also': 1, 'aswell': 1, 'reels': 2}",109.0,265.0
173355,5970.29,284.3,3.608,1.6933,34,0,34,0,0.971,"{'dermaliciouschangeme': 1, 'mamikenzo': 1, 'parenting': 1, 'konsultasikeluargasurabaya': 1, 'konselingkeluarga': 1, 'psikologsurabaya': 2, 'motivasi': 2, 'pov': 1, 'kesehatanmental': 2, 'klinikpsikologisurabaya': 2, 'konselingsurabaya': 2, 'caraparenting': 1, 'worldmentalhealthday': 1, 'mentalhealth': 1, 'lebihpasisinya': 2, 'lebihkuatlebihteballebihfun': 1, 'nicejakarta': 1, 'nicejateng': 1, 'nicejatim': 1, 'nicejabar': 1, 'wdcdental': 1, 'annoraaesthetic': 1, 'perawatangigi': 1, 'facial': 1, 'perawatanaesthetic': 1, 'promoperawatan': 1, 'pinhomeservice': 1}",27.0,33.0
645355,14072.87,239.01,2.2177,2.972,64,0,63,1,0.984,"{'reels': 59, 'lagidisynchronize': 1, 'boldmusic': 1, 'livebold': 1, 'fyp': 1}",5.0,63.0
150701,12224.16,426.46,8.3945,18.7821,30,2,28,0,0.933,{'fyp': 28},1.0,28.0
158978,979.32,16.97,0.6267,0.3494,23,5,12,6,0.0,{},0.0,0.0
302213,3498.97,20.81,1.1647,0.3913,4,0,1,3,1.0,"{'zx636': 1, 'zx6r': 1, 'zx636r': 1, 'zx636indonesia': 1}",4.0,4.0
149567,25749.95,234.51,17.3731,26.7022,23,0,23,0,2.783,"{'backpackerjomblo': 5, 'sembalun': 1, 'lombok': 1, 'indonesia': 17, 'danautoba': 17, 'samosir': 8, 'sumaterautara': 1, 'sumut': 2, 'kursigratisairasia': 1, 'jetski': 1, 'sibeabeasamosir': 1, 'tuktuk': 1, 'sunset': 1, 'adventure': 1, 'explore': 1, 'jawatengah': 1, 'tanatoraja': 1, 'sulawesiselatan': 1, 'tripdanautoba': 1, 'bobocabin': 1}",20.0,64.0
217470,20222.12,257.75,9.4173,15.8206,30,0,30,0,0.0,{},0.0,0.0
104123,3002.22,42.35,2.924,2.7597,51,3,41,7,8.255,"{'farezafeb': 36, 'evoleneofficial': 1, 'galadinner': 1, 'evosorption': 1, 'evowhey': 1, 'launching': 1, 'friendship': 1, 'brother': 1, 'brotherhood': 1, 'friends': 1, 'bestfriend': 1, 'bodybuilder': 31, 'bodybuilding': 33, 'gym': 27, 'fitness': 24, 'workout': 20, 'gymrat': 16, 'gymmotivation': 14, 'timika': 2, 'papua': 2, 'gymtimika': 1, 'chrisputra': 3, 'chrisputrafamily': 1, 'fitnessmotivation': 4, 'family': 1, 'familytime': 1, 'villa': 1, 'holiday': 1, 'travel': 1, 'prebiotik': 1, 'lencir': 1, 'cutting': 1, 'bulking': 2, 'bloating': 1, 'evolene': 16, 'powerlifter': 2, 'strongman': 4, 'fit': 11, 'iwandsamuray': 1, 'binaraga': 3, 'protein': 5, 'legday': 1, 'bcaa': 1, 'optimumfitnessfair': 4, 'kamijuara': 4, 'ofifa2024': 5, 'rcg': 4, 'bodycontestindonesia': 4, 'bodycontest': 5, 'binaragaindonesia': 6, 'eventbodycontest': 5, 'bodycontest2024': 4, 'yudhistirarajamarta': 2, 'pose': 2, 'testosterone': 1, 'hormon': 1, 'evoboost': 1, 'muscle': 5, 'creatine': 2, 'aderai': 4, 'ekofambudi': 1, 'isaikesek': 1, 'fannifuadi': 1, 'olympia': 1, 'olympian': 2, 'olympialasvegas': 1, 'ifbb': 1, 'ifbbpro': 1, 'mealprep': 1, 'athlete': 2, 'menphysique': 1, 'classicphysique': 1, 'dumbell': 1, 'dumbellworkout': 1, 'dumbellrow': 1, 'challenge': 1, 'gatotkaca': 1, 'infinix': 1, 'gadget': 1, 'hp': 1, 'gaming': 1, 'yudhistira': 3, 'guestpose': 4, 'pumping': 1, 'fitnesslife': 2, 'tips': 2, 'fitnesstips': 2, 'guestposting': 2, 'ofifa': 3, 'guestposers': 1, 'bodybuild': 1, 'yogjakarta': 1, 'atlit': 1, 'batik': 1, 'whey': 1, 'wheyprotein': 1, 'isolene': 1, 'isolate': 1, 'gymlife': 3, 'creator': 1, 'matchmaking': 1, 'tiktok': 1, 'sale': 1, 'diskon': 1, 'promo': 2, 'kalori': 1, 'musclewar': 1, 'agungvikas': 1, 'weightlifting': 1, 'bodyweight': 1, 'beratbadan': 1, 'musclewars': 1, 'wearethestrongest': 1, 'naturalfarm': 1, 'suplemen': 1, 'couple': 1, 'fein': 1, 'urat': 1, 'whittaker': 1, 'outfit': 1, 'ootd': 1, 'gymapparel': 1, 'giantset': 1, 'biceps': 1, 'private': 1, 'shoulder': 1, 'lateralraises': 1}",127.0,421.0
705885,127287.37,726.23,18.1352,19.9922,20,1,12,7,0.1,"{'masyaallahtabarakallah': 1, 'allahummabarik': 1}",2.0,2.0
