Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
2535794,298639.78,697.25,11.8045,7.3366,4.0,0.0,1.0,3.0,0.0
1794389,37617.32,47.94,2.0991,1.0989,8.0,2.0,5.0,1.0,2.25
1882154,280182.43,1772.61,14.9804,10.7121,2.0,1.0,0.0,1.0,0.0
2467232,50840.45,1202.86,2.1094,0.7788,13.0,0.0,13.0,0.0,0.0
1951486,21305.46,132.91,1.0986,0.7444,8.0,1.0,2.0,5.0,0.0
1909407,185977.67,19446.0,10.7585,0.0,0.0,0.0,0.0,0.0,0.0
1877998,1702.09,7.86,0.0911,0.0294,523.0,7.0,87.0,429.0,0.809
1882751,23509.9,201.81,1.2594,0.4847,9.0,0.0,3.0,6.0,4.889
3642574,46675.47,110.85,1.2844,0.06,18.0,1.0,8.0,9.0,0.0
1875587,8651.74,113.71,0.4673,0.234,64.0,1.0,62.0,1.0,6.202
1507878,18114.11,59.76,1.2053,1.5169,23.0,0.0,15.0,2.0,0.0
1000012,13534.56,71.34,1.3606,0.1903,13.0,0.0,10.0,3.0,2.231
982229,27707.46,261.5,2.8475,2.4468,9.0,2.0,0.0,7.0,0.111
1028411,13258.48,909.42,1.3777,0.3105,10.0,0.0,6.0,4.0,2.0
1198961,11354.35,60.05,0.952,0.5431,61.0,18.0,39.0,4.0,0.525
1077761,12726.22,92.63,1.1894,1.2948,17.0,3.0,4.0,10.0,4.529
910962,5838.83,444.86,0.6898,0.0,0.0,0.0,0.0,0.0,0.0
1054229,15852.63,193.56,1.5221,0.9275,28.0,0.0,12.0,16.0,1.036
986853,3297.38,190.97,0.3535,0.1425,28.0,5.0,6.0,17.0,0.321
2781412,115293.75,1348.9,4.1936,12.1218,16.0,0.0,6.0,10.0,1.444
889213,23692.74,117.83,2.6777,1.5024,25.0,2.0,19.0,4.0,0.04
6199626,16913.83,286.68,0.2774,4.3511,57.0,1.0,40.0,16.0,0.035
5120068,35084.37,569.8,0.6964,0.3626,68.0,20.0,26.0,22.0,1.147
3565,3260.67,147.67,95.6054,2.6592,5.0,0.0,2.0,3.0,0.0
7965,286.13,6.35,3.6721,5.4572,3.0,0.0,0.0,3.0,0.0
8984,53.44,3.08,0.6291,0.141,3.0,2.0,1.0,0.0,15.333
3467,220.89,15.93,6.8307,3.1247,3.0,1.0,2.0,0.0,1.667
2063,183.66,1.99,8.9993,1.5511,1.0,0.0,1.0,0.0,3.0
11323,348.36,10.1,3.1658,1.359,8.0,6.0,1.0,1.0,17.25
9660,2962.43,12.76,30.7991,6.9979,1.0,0.0,0.0,1.0,0.0
2199,347.3,4.34,15.9909,12.7331,1.0,0.0,0.0,1.0,0.0
2131,91.77,5.86,4.5811,4.045,5.0,0.0,2.0,3.0,1.4
2007,110.96,2.93,5.6747,0.0,0.0,0.0,0.0,0.0,0.0
