Username,Likes Avg.,Followers,Comments Avg.,Engagement Rate (60 Days),Friends with other famous influencer,Posting frequency (last 60 days)
simoneses,425578.3333333333,34784799,4539.766055045871,0.0065881265101163,0,0
ivetesangalo,234006.2142857143,34714162,3542.183500385505,0.0021890525460217,0,0
paollaoliveirareal,367804.9722222223,34565086,3025.36539746159,0.0056734668757112,0,0
lunamaya,145525.50595238095,34486065,948.4511819116136,0.0024909527637714,0,0
dannapaola,1458303.625,34446899,3327.8276699029125,0.0289454440980041,0,0
blakelively,3222808.5,34420991,9165.636363636364,0.0746676282925667,0,0
toni.kr8s,597179.75,34281435,2314.913432835821,0.016836516647871,0,0
adidasoriginals,151286.6,34246782,667.1032388663967,0.0020140179342872,0,0
disney,185166.2341269841,33912535,1053.8107497741644,0.0044303100721691,0,0
shaymitchell,754879.925,33777981,1958.390516039052,0.0131275839683203,0,0
khabib_nurmagomedov,693615.5178571428,33561258,5063.583132530121,0.0120533964293051,0,0
bmw,232946.5344611529,33536702,587.0275279367675,0.0029725203761395,0,0
zidane,1059596.0,33177179,6400.405660377359,0.0251361379494257,0,0
nancyajram,391202.1666666667,33102343,3792.208616780045,0.0043412410576444,0,0
sonamkapoor,264547.2055555556,33043019,868.8948126801153,0.0088427624551588,0,0
luansantana,205587.9583333333,33024460,4795.100969766116,0.0050917149464801,0,0
danbilzerian,2044189.0,32938902,24680.813186813182,0.0336293331489344,0,0
nickjonas,744225.6666666666,32906383,2191.0835509138383,0.0107655272386417,0,0
gururandhawa,637758.25,32845959,3837.25147579693,0.0083653312996734,0,0
iambeckyg,625421.4761904763,32812027,1588.4186046511627,0.0164217780819529,0,0
